year;age;sex;s1;s2;s3;mortality;population;employment;working;absence;cancer;absence_pc;employment_s_n;employment_w_s;absence_s_n;absence_w_s;cancer_s_n;cancer_w_s;mortality_s_n;mortality_w_s;mortality_denominator;mortality_s1;mortality_s2;mortality_s3;employment_denominator;employment_s1;employment_s2;employment_s3;absence_denominator;absence_s1;absence_s2;absence_s3;cancer_denominator;cancer_s1;cancer_s2;cancer_s3;s1_as;s2_as;s3_as;mortality_bs;mortality_as;employment_bs;employment_as;absence_bs;absence_as;cancer_bs;cancer_as
2012;15-19;K;0.411533909;0.228269315;0.360196776;0.00020802;1131077.332;0.058898939;66619.25476;723.1074657;0.000665905;0.010854331;1;1;1;1;0.99;1;1;1;1;0.00020802;0.00020802;0.00020802;1;0.058898939;0.058898939;0.058898939;1;723.1074657;723.1074657;723.1074657;0.994115339;0.000669846;0.000663148;0.000663148;0.205766954;0.331152792;0.463080253;0.00020802;0.00020802;0.058898939;0.058898939;723.1074657;723.1074657;0.000665905;0.000664526
2012;15-19;M;0.348985719;0.241416976;0.409597305;0.000554187;1179683.017;0.085862512;101290.5472;979.8696061;0.000779546;0.00967385;1;1;1;1;0.99;1;1;1;1;0.000554187;0.000554187;0.000554187;1;0.085862512;0.085862512;0.085862512;1;979.8696061;979.8696061;979.8696061;0.993489857;0.000784654;0.000776807;0.000776807;0.17449286;0.328663406;0.496843735;0.000554187;0.000554187;0.085862512;0.085862512;979.8696061;979.8696061;0.000779546;0.000778177
2012;20-24;K;0.411533909;0.228269315;0.360196776;0.000242283;1363470.024;0.378697342;516342.4736;6622.041927;0.000487553;0.012824903;1;1;0.79;1;0.99;1;0.82;1;0.894076104;0.000270987;0.00022221;0.00022221;1;0.378697342;0.378697342;0.378697342;0.876422121;7555.767671;5969.05646;5969.05646;0.994115339;0.000490439;0.000485535;0.000485535;0.205766954;0.331152792;0.463080253;0.000242283;0.000232246;0.378697342;0.378697342;6622.041927;6295.549193;0.000487553;0.000486544
2012;20-24;M;0.348985719;0.241416976;0.409597305;0.001010412;1414775.752;0.510250666;721890.2698;3857.943251;0.000557085;0.005344224;1;1;0.79;1;0.99;1;0.9;1;0.934898572;0.001080772;0.000972695;0.000972695;1;0.510250666;0.510250666;0.510250666;0.863287001;4468.899967;3530.430974;3530.430974;0.993489857;0.000560735;0.000555128;0.000555128;0.17449286;0.328663406;0.496843735;0.001010412;0.000991554;0.510250666;0.510250666;3857.943251;3694.187112;0.000557085;0.000556106
2012;25-29;K;0.514676061;0.218915765;0.266408174;0.000250016;1614627.56;0.614067519;991490.3398;14845.58108;0.000692458;0.014972996;1.052;1;0.79;1;0.99;1;0.82;1;0.912641691;0.000273948;0.000224637;0.000224637;1.025236845;0.598951864;0.63009736;0.63009736;0.898081973;16530.31853;13058.95164;13058.95164;0.995146761;0.000695835;0.000688877;0.000688877;0.257338031;0.347584781;0.395077189;0.000250016;0.000237327;0.614067519;0.62208244;14845.58108;13952.26636;0.000692458;0.000690668
2012;25-29;M;0.536680068;0.223258794;0.240061139;0.001110374;1662231.447;0.739924213;1229925.296;7379.545679;0.000689433;0.005999995;1.038;1;0.79;1;0.99;1;0.9;1;0.953668007;0.001164319;0.001047887;0.001047887;1.017606157;0.727122382;0.754753032;0.754753032;0.902702814;8174.944802;6458.206394;6458.206394;0.995366801;0.000692643;0.000685716;0.000685716;0.268340034;0.357428811;0.374231156;0.001110374;0.00107913;0.739924213;0.747338623;7379.545679;6918.876036;0.000689433;0.000687575
2012;30-34;K;0.514676061;0.218915765;0.266408174;0.000382043;1541068.444;0.654232472;1008217.018;12207.99989;0.001270995;0.012108504;1.052;1;0.79;1;0.99;1;0.82;1;0.912641691;0.000418612;0.000343262;0.000343262;1.025236845;0.638128131;0.671310794;0.671310794;0.898081973;13593.41381;10738.79691;10738.79691;0.995146761;0.001277193;0.001264421;0.001264421;0.257338031;0.347584781;0.395077189;0.000382043;0.000362652;0.654232472;0.662771633;12207.99989;11473.3984;0.001270995;0.001267708
2012;30-34;M;0.536680068;0.223258794;0.240061139;0.00133815;1587536.262;0.784825279;1245938.59;7150.497116;0.000805498;0.005739045;1.038;1;0.79;1;0.99;1;0.9;1;0.953668007;0.001403161;0.001262845;0.001262845;1.017606157;0.77124659;0.800553961;0.800553961;0.902702814;7921.208402;6257.754637;6257.754637;0.995366801;0.000809247;0.000801155;0.000801155;0.268340034;0.357428811;0.374231156;0.00133815;0.001300497;0.784825279;0.79268962;7150.497116;6704.125877;0.000805498;0.000803326
2012;35-39;K;0.561223085;0.244236845;0.19454007;0.000618026;1422315.273;0.682890027;971284.9147;7366.861768;0.002132854;0.007584656;1.052;1;0.79;1;0.99;1;0.82;1;0.921020155;0.000671024;0.000550239;0.000550239;1.0228164;0.667656509;0.702374647;0.702374647;0.907856848;8114.5632;6410.504928;6410.504928;0.995612231;0.002142254;0.002120831;0.002120831;0.280611542;0.384542616;0.334845841;0.000618026;0.000584133;0.682890027;0.692632337;7366.861768;6888.683348;0.002132854;0.002126842
2012;35-39;M;0.599470815;0.230818351;0.169710834;0.002096442;1461507.416;0.785737074;1148360.56;6673.497405;0.001155192;0.005811326;1.038;1;0.79;1;0.99;1;0.9;1;0.959947082;0.002183914;0.001965523;0.001965523;1.015220109;0.773957358;0.803367738;0.803367738;0.915888871;7286.361495;5756.225581;5756.225581;0.995994708;0.001159838;0.001148239;0.001148239;0.299735408;0.380686055;0.319578538;0.002096442;0.002030982;0.785737074;0.794552406;6673.497405;6214.861493;0.001155192;0.001151716
